_id, propertyAvail, locationName, photoUrl, price, rating, reviewCount
1,Entire home • Doyleburgh,"Holistic House in Port Janick",https://s3.amazonaws.com/similar-homes-module/city/city558.jpg,377,3.5,317
2,Private room • New Toneybury,"Cross-media Vacation-House in Wunschmouth",https://s3.amazonaws.com/similar-homes-module/city/city617.jpg,954,4.5,539
3,Hotel Room • Maybellland,"Visionary Home in Durganmouth",https://s3.amazonaws.com/similar-homes-module/city/city975.jpg,242,5,692
4,Private room • Leonview,"Vertical Duplex in North Hymanburgh",https://s3.amazonaws.com/similar-homes-module/city/city993.jpg,1107,4,687
5,Private room • East Edyth,"Integrated Studio in Nevaside",https://s3.amazonaws.com/similar-homes-module/city/city861.jpg,1859,3.5,70
6,Hotel Room • Winnifredbury,"Scalable Suite in Wileyside",https://s3.amazonaws.com/similar-homes-module/city/city509.jpg,1713,3,612
7,Private room • South Leonard,"Cross-media Home in Madonnahaven",https://s3.amazonaws.com/similar-homes-module/city/city1012.jpg,1346,4,356
8,Private room • Jakefort,"Leading-edge Penthouse in Berniceport",https://s3.amazonaws.com/similar-homes-module/city/city547.jpg,299,4,686
9,Entire home • Ratkechester,"Cutting-edge Condo in Kendrickhaven",https://s3.amazonaws.com/similar-homes-module/city/city207.jpg,1244,3.5,719
10,Hotel Room • East Myriamport,"Dynamic Loft in Vestamouth",https://s3.amazonaws.com/similar-homes-module/city/city461.jpg,198,3,777
11,Hotel Room • East Maxie,"Granular Yurt in Lake Thea",https://s3.amazonaws.com/similar-homes-module/city/city54.jpg,1601,4,483
12,Hotel Room • North Nicoletteville,"Intuitive Condo in West Serenaburgh",https://s3.amazonaws.com/similar-homes-module/city/city744.jpg,574,3,774
13,Entire home • Lake Celestinochester,"Scalable Apartment in Halvorsonport",https://s3.amazonaws.com/similar-homes-module/city/city152.jpg,1264,2.5,622
14,Private room • East Maci,"Revolutionary Suite in Lake Valliehaven",https://s3.amazonaws.com/similar-homes-module/city/city112.jpg,147,3.5,139
15,Private room • East Paigeport,"Transparent Cabin in Port Borisville",https://s3.amazonaws.com/similar-homes-module/city/city452.jpg,1982,2.5,404
16,Private room • Bauchchester,"Holistic Home in North Florencio",https://s3.amazonaws.com/similar-homes-module/city/city378.jpg,1455,4,293
17,Private room • West Don,"Cutting-edge Vacation-House in New Edisonmouth",https://s3.amazonaws.com/similar-homes-module/city/city566.jpg,992,5,51
18,Entire home • Jaronfurt,"Magnetic Yurt in Fordborough",https://s3.amazonaws.com/similar-homes-module/city/city711.jpg,227,3.5,216
19,Entire home • Venachester,"Cutting-edge Studio in Swiftberg",https://s3.amazonaws.com/similar-homes-module/city/city264.jpg,116,3.5,348
20,Private room • Lake Nedra,"Cross-platform Apartment in Lake Adelle",https://s3.amazonaws.com/similar-homes-module/city/city108.jpg,338,4.5,191
21,Entire home • Port Novellaborough,"Vertical Chalet in South Gerardomouth",https://s3.amazonaws.com/similar-homes-module/city/city712.jpg,195,3,569
22,Hotel Room • New Jocelyn,"B2C Duplex in West Elton",https://s3.amazonaws.com/similar-homes-module/city/city327.jpg,1168,2.5,42
23,Private room • New Reagan,"B2C Condo in Port Kayleyport",https://s3.amazonaws.com/similar-homes-module/city/city964.jpg,1123,3,265
24,Hotel Room • Whitebury,"Next-generation Terrace in Rathport",https://s3.amazonaws.com/similar-homes-module/city/city640.jpg,208,2.5,760
25,Private room • Hudsonstad,"Customized Cabin in East Josefa",https://s3.amazonaws.com/similar-homes-module/city/city323.jpg,201,5,638
26,Private room • Mohrmouth,"User-centric Duplex in Genovevaside",https://s3.amazonaws.com/similar-homes-module/city/city50.jpg,1968,4.5,647
27,Private room • South Sidneyside,"Scalable Bungaloo in Feeneystad",https://s3.amazonaws.com/similar-homes-module/city/city598.jpg,1594,4.5,221
28,Hotel Room • New Fatimabury,"Cutting-edge Home in West Wilfrid",https://s3.amazonaws.com/similar-homes-module/city/city142.jpg,648,4.5,381
29,Private room • Murraychester,"Turn-key Duplex in Abshireport",https://s3.amazonaws.com/similar-homes-module/city/city508.jpg,297,4,283
30,Hotel Room • West Talonton,"Cutting-edge Suite in East Adriana",https://s3.amazonaws.com/similar-homes-module/city/city382.jpg,1329,5,525
31,Hotel Room • Port Giovanna,"Leading-edge Studio in North Micheal",https://s3.amazonaws.com/similar-homes-module/city/city345.jpg,692,4.5,733
32,Entire home • Boydton,"Innovative Loft in New Monserrattown",https://s3.amazonaws.com/similar-homes-module/city/city853.jpg,160,5,273
33,Hotel Room • Garnetview,"Mission-critical Chalet in Homenickport",https://s3.amazonaws.com/similar-homes-module/city/city890.jpg,167,4.5,347
34,Hotel Room • South Cortezview,"B2C Terrace in South Summerport",https://s3.amazonaws.com/similar-homes-module/city/city1003.jpg,1615,4,623
35,Entire home • Port Corrineside,"Granular Studio in West Aidanburgh",https://s3.amazonaws.com/similar-homes-module/city/city844.jpg,1585,3,425
36,Hotel Room • Clovisview,"Front-end Loft in Murrayview",https://s3.amazonaws.com/similar-homes-module/city/city810.jpg,812,5,643
37,Hotel Room • Maraview,"Plug-and-play Vacation-House in North Lueview",https://s3.amazonaws.com/similar-homes-module/city/city480.jpg,1151,5,126
38,Entire home • Ricostad,"Open-source Yurt in Port Skye",https://s3.amazonaws.com/similar-homes-module/city/city856.jpg,1608,4,604
